n,k,baseline_seconds,optimized_seconds
1000,1,0.12083834733736391,0.01546227801979209
1000,5,0.1213755973149091,0.02431951432178418
1000,10,0.1215180973134314,0.03404755533362428
1000,50,0.12253065298621853,0.09562312499231969
1000,100,,0.1613789166828307
5000,1,,0.08404448601262023
5000,5,,0.14522619432924935
5000,10,,0.21080502764865136
5000,50,,0.5828009446850047
5000,100,,1.0788377499945152
10000,1,,0.19055073632625863
10000,5,,0.31901994431003305
10000,10,,0.4465172083194678
10000,50,,1.345626694324892
10000,100,,2.314694263972342
50000,1,,1.0316940416620735
50000,5,,1.7420684583291102
50000,10,,2.72441936134904
50000,50,,7.686674111328709
50000,100,,13.71312219434185
